"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"","","6063.233333333334","B2","2022-11-04 07:00:00.000",""
"Unplanned Downtime","PLUR-Rollstand","1.75","B2","2022-11-04 07:00:00.000","7101"
"Unplanned Downtime","HLSO Delivery","3.0166666666666666","B2","2022-11-04 07:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","38.28333333333333","B2","2022-11-04 07:00:00.000","7101"
"","","5855.1","D2","2022-11-04 19:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","8.516666666666667","D2","2022-11-04 19:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","11.766666666666667","D2","2022-11-04 19:00:00.000","7101"
"","","4996.916666666667","A2","2022-11-05 07:00:00.000",""
"Unplanned Downtime","HLSO Delivery","1.0333333333333334","A2","2022-11-05 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","101.91666666666667","A2","2022-11-05 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","0.7","C2","2022-11-05 19:00:00.000","7101"
"","","5617.966666666667","C2","2022-11-05 19:00:00.000",""
"","","5393.3","A2","2022-11-06 06:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","16.133333333333333","A2","2022-11-06 06:00:00.000","7101"
"","","5478.933333333333","C1","2022-11-06 18:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","7.2","C1","2022-11-06 18:00:00.000","7101"
"Unplanned Downtime","HLSO Delivery","86.0","B2","2022-11-04 07:00:00.000","7102"
"Unplanned Downtime","WL00 Conveyors","38.266666666666666","B2","2022-11-04 07:00:00.000","7102"
"Unplanned Downtime","VQ08 Def Material Board","26.333333333333332","B2","2022-11-04 07:00:00.000","7102"
"Unplanned Downtime","HLJ0 Sheeter jam up","48.68333333333333","B2","2022-11-04 07:00:00.000","7102"
"Unplanned Downtime","Unplanned Downtime","3.5166666666666666","B2","2022-11-04 07:00:00.000","7102"
"Unplanned Downtime","PQ80 Web Break","19.416666666666668","B2","2022-11-04 07:00:00.000","7102"
"Unplanned Downtime","HLSO Delivery","127.96666666666667","D2","2022-11-04 19:00:00.000","7102"
"Unplanned Downtime","HLJ0 Sheeter jam up","41.65","D2","2022-11-04 19:00:00.000","7102"
"Unplanned Downtime","HLSO Delivery","87.68333333333334","A2","2022-11-05 07:00:00.000","7102"
"Unplanned Downtime","Unplanned Downtime","25.566666666666666","A2","2022-11-05 07:00:00.000","7102"
"Unplanned Downtime","HLOE Sheeting Electrical","175.33333333333334","A2","2022-11-05 07:00:00.000","7102"
"Unplanned Downtime","Unplanned Downtime","3.1166666666666667","C2","2022-11-05 19:00:00.000","7102"
"Unplanned Downtime","HLSO Delivery","101.95","C2","2022-11-05 19:00:00.000","7102"
"Unplanned Downtime","PQ80 Web Break","9.883333333333333","C2","2022-11-05 19:00:00.000","7102"
"Unplanned Downtime","HLOE Sheeting Electrical","0.15","C2","2022-11-05 19:00:00.000","7102"
"Unplanned Downtime","HLJ0 Sheeter jam up","5.7","C2","2022-11-05 19:00:00.000","7102"
"Unplanned Downtime","HLSO Delivery","123.58333333333333","A2","2022-11-06 06:00:00.000","7102"
"Disabled","HLJ0 Sheeter jam up","2.9833333333333334","A2","2022-11-06 06:00:00.000","7102"
"Unplanned Downtime","HLJ0 Sheeter jam up","56.733333333333334","A2","2022-11-06 06:00:00.000","7102"
"Unplanned Downtime","VQ08 Def Material Board","2.25","A2","2022-11-06 06:00:00.000","7102"
"Unplanned Downtime","WL00 Conveyors","7.933333333333334","A2","2022-11-06 06:00:00.000","7102"
"Unplanned Downtime","PQ80 Web Break","106.53333333333333","A2","2022-11-06 06:00:00.000","7102"
"Unplanned Downtime","HLSO Delivery","53.766666666666666","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","U00 Clean Up  Housekeeping","34.68333333333333","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","HLJ0 Sheeter jam up","37.833333333333336","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","HLOE Sheeting Electrical","25.733333333333334","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","WQ00 Material Handling","14.466666666666667","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","HLEO Decurl","4.866666666666666","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","SPL-Splice waste","1.2166666666666666","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","T00 MEETING-SAFETY TRAINING ","8.233333333333333","C1","2022-11-06 18:00:00.000","7102"
"Unplanned Downtime","HLSO Delivery","1.5","B2","2022-11-04 07:00:00.000","7104"
"Unplanned Downtime","PQ80 Web Break","23.25","B2","2022-11-04 07:00:00.000","7104"
"Unplanned Downtime","Unplanned Downtime","1.6333333333333333","B2","2022-11-04 07:00:00.000","7104"
"Unplanned Downtime","PQ80 Web Break","13.85","D2","2022-11-04 19:00:00.000","7104"
"Unplanned Downtime","HLJ0 Sheeter jam up","55.983333333333334","D2","2022-11-04 19:00:00.000","7104"
"Unplanned Downtime","HLOE Sheeting Electrical","86.01666666666667","D2","2022-11-04 19:00:00.000","7104"
"Unplanned Downtime","HLSO Delivery","2.7333333333333334","D2","2022-11-04 19:00:00.000","7104"
"Unplanned Downtime","WQ00 Material Handling","19.85","D2","2022-11-04 19:00:00.000","7104"
"Unplanned Downtime","WQ00 Material Handling","44.916666666666664","A2","2022-11-05 07:00:00.000","7104"
"Unplanned Downtime","HLJ0 Sheeter jam up","35.266666666666666","A2","2022-11-05 07:00:00.000","7104"
"Unplanned Downtime","SL02 Emrgncy Util Outge Act of God","114.2","A2","2022-11-05 07:00:00.000","7104"
"Unplanned Downtime","HLOE Sheeting Electrical","33.233333333333334","A2","2022-11-05 07:00:00.000","7104"
"Unplanned Downtime","PQ80 Web Break","3.9833333333333334","A2","2022-11-05 07:00:00.000","7104"
"Unplanned Downtime","HLJ0 Sheeter jam up","43.65","C2","2022-11-05 19:00:00.000","7104"
"Unplanned Downtime","PQ80 Web Break","17.85","A2","2022-11-06 06:00:00.000","7104"
"Unplanned Downtime","SQ01 Waiting on Mtrls Info Schd Ch","5.716666666666667","A2","2022-11-06 06:00:00.000","7104"
"Unplanned Downtime","HLJ0 Sheeter jam up","23.883333333333333","C1","2022-11-06 18:00:00.000","7104"
"Unplanned Downtime","PQ80 Web Break","68.93333333333334","C1","2022-11-06 18:00:00.000","7104"
"Running","PQ80 Web Break","0.8333333333333334","C1","2022-11-06 18:00:00.000","7104"
"Unplanned Downtime","T00 MEETING-SAFETY TRAINING ","15.75","C1","2022-11-06 18:00:00.000","7104"
"Unplanned Downtime","PQ06 Coating Stickers","42.53333333333333","B2","2022-11-04 07:00:00.000","7201"
"Unplanned Downtime","PLD0 Mechanical Delivery","2.816666666666667","B2","2022-11-04 07:00:00.000","7201"
"Unplanned Downtime","PLG5 Feeder Trips   Operator","40.3","B2","2022-11-04 07:00:00.000","7201"
"Unplanned Downtime","PQBW Blanket Wash Normal","36.56666666666667","B2","2022-11-04 07:00:00.000","7201"
"Unplanned Downtime","PQ29 Ghosting and Ink Transfer","27.683333333333334","B2","2022-11-04 07:00:00.000","7201"
"Unplanned Downtime","PLDF Mechanical Feeder","0.11666666666666667","B2","2022-11-04 07:00:00.000","7201"
"Unplanned Downtime","PLG5 Feeder Trips   Operator","54.45","D2","2022-11-04 19:00:00.000","7201"
"Unplanned Downtime","PQBW Blanket Wash Normal","23.533333333333335","D2","2022-11-04 19:00:00.000","7201"
"Unplanned Downtime","SQ04 Waiting on Material Board","77.01666666666667","D2","2022-11-04 19:00:00.000","7201"
"Unplanned Downtime","PQBE Blanket Problems","31.133333333333333","D2","2022-11-04 19:00:00.000","7201"
"Unplanned Downtime","L0ER Electrical Feeder","13.383333333333333","D2","2022-11-04 19:00:00.000","7201"
"Unplanned Downtime","PLD0 Mechanical Delivery","3.1333333333333333","D2","2022-11-04 19:00:00.000","7201"
"Unplanned Downtime","PQBW Blanket Wash Normal","37.083333333333336","A2","2022-11-05 07:00:00.000","7201"
"Unplanned Downtime","PL0X Electrical Coater","73.38333333333334","A2","2022-11-05 07:00:00.000","7201"
"Unplanned Downtime","SL02 UTILITY OUTAGE - ACT OF GOD","42.56666666666667","A2","2022-11-05 07:00:00.000","7201"
"Unplanned Downtime","PLG5 Feeder Trips   Operator","9.716666666666667","A2","2022-11-05 07:00:00.000","7201"
"Unplanned Downtime","PLD0 Mechanical Delivery","3.0","A2","2022-11-05 07:00:00.000","7201"
"Unplanned Downtime","PLRP Rollers  Print Coat press crew","21.133333333333333","A2","2022-11-05 07:00:00.000","7201"
"Unplanned Downtime","PLDX Mechanical Coater","203.1","A2","2022-11-05 07:00:00.000","7201"
"Unplanned Downtime","PLDX Mechanical Coater","29.766666666666666","C2","2022-11-05 19:00:00.000","7201"
"Unplanned Downtime","PLDF Mechanical Feeder","26.416666666666668","C2","2022-11-05 19:00:00.000","7201"
"Unplanned Downtime","PLD0 Mechanical Delivery","11.9","C2","2022-11-05 19:00:00.000","7201"
"Unplanned Downtime","PQBW Blanket Wash Normal","13.0","C2","2022-11-05 19:00:00.000","7201"
"Unplanned Downtime","PLDX Mechanical Coater","5.45","A2","2022-11-06 06:00:00.000","7201"
"Unplanned Downtime","PLDF Mechanical Feeder","3.8833333333333333","A2","2022-11-06 06:00:00.000","7201"
"Unplanned Downtime","PQBW Blanket Wash Normal","102.65","A2","2022-11-06 06:00:00.000","7201"
"Unplanned Downtime","PQ06 Coating Stickers","45.03333333333333","A2","2022-11-06 06:00:00.000","7201"
"Unplanned Downtime","PLG5 Feeder Trips   Operator","10.216666666666667","A2","2022-11-06 06:00:00.000","7201"
"Unplanned Downtime","PQBE Blanket Problems","17.216666666666665","A2","2022-11-06 06:00:00.000","7201"
