"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"","","5438.150000000001","B2","2022-06-01 07:00:00.000",""
"","","5397.383333333332","D2","2022-06-01 19:00:00.000",""
"","","5851.5","B2","2022-06-02 07:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","6.5","B2","2022-06-02 07:00:00.000","7101"
"Unplanned Downtime","SQ04 Waiting on Material Board","33.516666666666666","B2","2022-06-02 07:00:00.000","7101"
"Unplanned Downtime","HLSO Delivery","12.25","B2","2022-06-02 07:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","4.75","B2","2022-06-02 07:00:00.000","7101"
"","","5443.9333333333325","D2","2022-06-02 19:00:00.000",""
"Unplanned Downtime","PLUR-Rollstand","20.516666666666666","D2","2022-06-02 19:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","30.75","D2","2022-06-02 19:00:00.000","7101"
"","","4899.916666666666","B2","2022-06-03 07:00:00.000",""
"Unplanned Downtime","HLOE Sheeting Electrical","141.61666666666667","B2","2022-06-03 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","5.3","B2","2022-06-03 07:00:00.000","7101"
"","","5347.033333333333","D2","2022-06-03 19:00:00.000",""
"","","5802.733333333334","A2","2022-06-04 07:00:00.000",""
"Unplanned Downtime","HLSO Delivery","18.733333333333334","A2","2022-06-04 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","3.85","A2","2022-06-04 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","339.3666666666667","C2","2022-06-04 19:00:00.000","7101"
"","","5596.266666666666","C2","2022-06-04 19:00:00.000",""
"","","5814.433333333333","A2","2022-06-05 07:00:00.000",""
"Unplanned Downtime","HLSO Delivery","3.0166666666666666","A2","2022-06-05 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","0.75","A2","2022-06-05 07:00:00.000","7101"
"","","5308.816666666666","C1","2022-06-05 19:00:00.000",""
"Unplanned Downtime","PLUR-Rollstand","54.483333333333334","C1","2022-06-05 19:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","45.516666666666666","C1","2022-06-05 19:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","0.75","C1","2022-06-05 19:00:00.000","7101"
"Unplanned Downtime","HLOE Sheeting Electrical","3.25","C1","2022-06-05 19:00:00.000","7101"
"Unplanned Downtime","PLUR-Rollstand","720.0","B1","2022-06-06 07:00:00.000","7101"
"Unplanned Downtime","PLUR-Rollstand","27.516666666666666","D1","2022-06-06 19:00:00.000","7101"
"","","5587.65","D1","2022-06-06 19:00:00.000",""
"","","5498.766666666666","B1","2022-06-07 07:00:00.000",""
"","","5605.783333333333","D1","2022-06-07 19:00:00.000",""
"","","6223.6833333333325","A1","2022-06-08 07:00:00.000",""
"","","5525.55","C1","2022-06-08 19:00:00.000",""
"","","5143.633333333334","A1","2022-06-09 07:00:00.000",""
"","","4991.616666666667","C1","2022-06-09 19:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","56.46666666666667","C1","2022-06-09 19:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","58.31666666666667","A1","2022-06-10 07:00:00.000","7101"
"","","5820.416666666668","A1","2022-06-10 07:00:00.000",""
"","","5656.000000000001","C1","2022-06-10 19:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","1.1833333333333333","C1","2022-06-10 19:00:00.000","7101"
"","","5868.116666666666","B1","2022-06-11 07:00:00.000",""
"","","5416.033333333333","D1","2022-06-11 19:00:00.000",""
"","","5118.516666666666","B2","2022-06-12 07:00:00.000",""
"","","5930.516666666666","D2","2022-06-12 19:00:00.000",""
"Unplanned Downtime","HLJ0 Sheeter jam up","5.25","D2","2022-06-12 19:00:00.000","7101"
"Unplanned Downtime","HLSO Delivery","3.25","D2","2022-06-12 19:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","55.46666666666667","D2","2022-06-12 19:00:00.000","7101"
"","","5946.3","A2","2022-06-13 07:00:00.000",""
"","","5652.966666666666","C2","2022-06-13 19:00:00.000",""
"Unplanned Downtime","HLSO Delivery","9.766666666666667","C2","2022-06-13 19:00:00.000","7101"
"Unplanned Downtime","PLUR-Rollstand","38.766666666666666","C2","2022-06-13 19:00:00.000","7101"
"Unplanned Downtime","WL00 Conveyors","11.25","C2","2022-06-13 19:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","0.5","C2","2022-06-13 19:00:00.000","7101"
"Unplanned Downtime","PQ80 Web Break","24.766666666666666","C2","2022-06-13 19:00:00.000","7101"
"Unplanned Downtime","HLM1 Sheeting OPERATOR TASK ","19.6","C2","2022-06-13 19:00:00.000","7101"
"Unplanned Downtime","HLM1 Sheeting OPERATOR TASK ","53.166666666666664","A2","2022-06-14 07:00:00.000","7101"
"","","5471.9333333333325","A2","2022-06-14 07:00:00.000",""
"","","5227.549999999999","C2","2022-06-14 19:00:00.000",""
"Unplanned Downtime","HLOM Sheeting Mechanical","29.933333333333334","C2","2022-06-14 19:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","2.0","C2","2022-06-14 19:00:00.000","7101"
"Unplanned Downtime","HLOM Sheeting Mechanical","19.75","B2","2022-06-15 07:00:00.000","7101"
"","","5717.2","B2","2022-06-15 07:00:00.000",""
"","","6017.5","D2","2022-06-15 19:00:00.000",""
"","","5829.883333333334","B2","2022-06-16 07:00:00.000",""
"","","5491.116666666668","D2","2022-06-16 19:00:00.000",""
