"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"","","5144.2","B1","2022-03-01 07:00:00.000",""
"","","5262.066666666667","D1","2022-03-01 19:00:00.000",""
"","","5051.599999999999","A1","2022-03-02 07:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","179.33333333333334","A1","2022-03-02 07:00:00.000","7101"
"","","5478.266666666667","C1","2022-03-02 19:00:00.000",""
"","","4649.683333333333","A1","2022-03-03 07:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","263.3666666666667","A1","2022-03-03 07:00:00.000","7101"
"Unplanned Downtime","HLSO Delivery","13.75","A1","2022-03-03 07:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","65.05","A1","2022-03-03 07:00:00.000","7101"
"","","4299.75","C1","2022-03-03 19:00:00.000",""
"Unplanned Downtime","SQ04 Waiting on Material Board","719.8833333333333","C1","2022-03-03 19:00:00.000","7101"
"Unplanned Downtime","SQ04 Waiting on Material Board","103.25","A1","2022-03-04 07:00:00.000","7101"
"","","4678.216666666666","A1","2022-03-04 07:00:00.000",""
"Unplanned Downtime","HLSO Delivery","2.1333333333333333","A1","2022-03-04 07:00:00.000","7101"
"Unplanned Downtime","PLUR-Rollstand","8.016666666666667","A1","2022-03-04 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","264.96666666666664","A1","2022-03-04 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","720.0","C1","2022-03-04 19:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","2.216666666666667","B1","2022-03-05 07:00:00.000","7101"
"","","5343.716666666666","B1","2022-03-05 07:00:00.000",""
"","","5885.0","D1","2022-03-05 19:00:00.000",""
"","","5489.966666666667","B2","2022-03-06 07:00:00.000",""
"","","5327.083333333333","D2","2022-03-06 19:00:00.000",""
"","","3912.133333333333","A2","2022-03-07 07:00:00.000",""
"","","4527.633333333333","C2","2022-03-07 19:00:00.000",""
"","","4914.716666666667","A2","2022-03-08 07:00:00.000",""
"Unplanned Downtime","HLM1 Sheeting OPERATOR TASK ","36.95","A2","2022-03-08 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","63.06666666666667","A2","2022-03-08 07:00:00.000","7101"
"Unplanned Downtime","PLUR-Rollstand","5.75","A2","2022-03-08 07:00:00.000","7101"
"Unplanned Downtime","HLSO Delivery","0.5","A2","2022-03-08 07:00:00.000","7101"
"Unplanned Downtime","HLM1 Sheeting OPERATOR TASK ","460.5","C2","2022-03-08 19:00:00.000","7101"
"","","4153.383333333333","C2","2022-03-08 19:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","3.5","C2","2022-03-08 19:00:00.000","7101"
"Unplanned Downtime","PLUR-Rollstand","2.75","C2","2022-03-08 19:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","5.016666666666667","C2","2022-03-08 19:00:00.000","7101"
"Unplanned Downtime","S00 START-UP - SHUT-DOWN","110.7","C2","2022-03-08 19:00:00.000","7101"
"Unplanned Downtime","S00 START-UP - SHUT-DOWN","60.5","B2","2022-03-09 07:00:00.000","7101"
"","","4548.683333333334","B2","2022-03-09 07:00:00.000",""
"Unplanned Downtime","HLSO Delivery","0.75","B2","2022-03-09 07:00:00.000","7101"
"Unplanned Downtime","Unplanned Downtime","240.13333333333333","B2","2022-03-09 07:00:00.000","7101"
"","","4979.95","D2","2022-03-09 19:00:00.000",""
"","","5142.8166666666675","B2","2022-03-10 07:00:00.000",""
"","","5115.866666666666","D2","2022-03-10 19:00:00.000",""
"","","4820.833333333333","B2","2022-03-11 07:00:00.000",""
"Unplanned Downtime","Unplanned Downtime","1.1","B2","2022-03-11 07:00:00.000","7101"
"Unplanned Downtime","HLSO Delivery","3.0","B2","2022-03-11 07:00:00.000","7101"
"Unplanned Downtime","HLJ0 Sheeter jam up","29.566666666666666","B2","2022-03-11 07:00:00.000","7101"
"Unplanned Downtime","HLOE Sheeting Electrical","38.5","B2","2022-03-11 07:00:00.000","7101"
"Unplanned Downtime","HLOE Sheeting Electrical","720.0","D2","2022-03-11 19:00:00.000","7101"
"Unplanned Downtime","HLOE Sheeting Electrical","192.3","A2","2022-03-12 07:00:00.000","7101"
