"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","FLA0 Auto Packer","0.016666666666666666","R5","2022-11-06 18:00:00.000","7436B"
"UPDT -  OP SIDE MATT TRIPPED","FLS0 Folding Section-2nd Section","0.016666666666666666","Y5","2022-11-06 06:00:00.000","7436B"
"UPDT -  LEARY SYSTEM SHUTDOWN","S00 Start-Up Shut-Down","0.016666666666666666","Y4","2022-11-04 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","S00 Start-Up Shut-Down","0.016666666666666666","Y4","2022-11-04 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","S00 Start-Up Shut-Down","0.016666666666666666","Y4","2022-11-04 07:00:00.000","7436B"
"UPDT -  OP SIDE MATT TRIPPED","S00 Start-Up Shut-Down","0.016666666666666666","Y4","2022-11-05 07:00:00.000","7436A"
"UPDT -  OP SIDE MATT TRIPPED","S00 Start-Up Shut-Down","0.016666666666666666","Y5","2022-11-06 06:00:00.000","7436B"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.016666666666666666","Y4","2022-11-04 07:00:00.000","7436B"
"UPDT - WW Tab Breaker","S03 Start up shut down","0.06666666666666667","R4","2022-11-04 19:00:00.000","7304"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.08333333333333333","Y4","2022-11-05 07:00:00.000","7436A"
"Unplanned Downtime","S00 Start-Up Shut-Down","0.1","Y5","2022-11-06 06:00:00.000","7434"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.13333333333333333","Y4","2022-11-05 07:00:00.000","7436B"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.15","R5","2022-11-06 18:00:00.000","7436A"
"Unplanned Downtime","FQER Replace - Change Film","0.18333333333333332","R5","2022-11-06 18:00:00.000","7433"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S03 Start up shut down","0.26666666666666666","R4","2022-11-05 19:00:00.000","7301"
"UPDT - WW Delivery","UPDT - WW Delivery","0.3333333333333333","R4","2022-11-05 19:00:00.000","7304"
"Unplanned Downtime","FLG0 Cold Glue System","0.4166666666666667","Y5","2022-11-06 06:00:00.000","7434"
"UPDT - WW Delivery","S00 Start-Up Shut-Down","0.43333333333333335","R4","2022-11-04 19:00:00.000","7304"
"UPDT - WW Delivery","PQPA Plate Scratch-Stain-Desensitiz","0.5166666666666667","R5","2022-11-06 18:00:00.000","7305"
"Unplanned Downtime","FQ71 Skewed","0.5666666666666667","Y4","2022-11-05 07:00:00.000","7433"
"UPDT - WW Tab Breaker","PLS0 Delivery table jam","0.6166666666666667","R5","2022-11-06 18:00:00.000","7305"
"UPDT - Printer Fast Stop Shutdown","LOM Mechanical","0.6333333333333333","Y5","2022-11-06 06:00:00.000","7301"
"UPDT - Delivery Belts Fast Stop Shutdown - 1","CQ64 Incomplete-poor Cutting","0.6833333333333333","Y4","2022-11-04 07:00:00.000","7303"
"Unplanned Downtime","Q19 Doubles","0.7166666666666667","Y4","2022-11-05 07:00:00.000","7434"
"UPDT - Printer Fast Stop Shutdown","S03 Start up shut down","0.75","R4","2022-11-05 19:00:00.000","7301"
"UPDT - WW Tab Breaker","S03 Start up shut down","0.8","R5","2022-11-06 18:00:00.000","7304"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S00 Start-Up Shut-Down","0.8166666666666667","Y4","2022-11-05 07:00:00.000","7303"
"UPDT - WW Cutter Nip","U00 Clean Up - Housekeeping","0.8166666666666667","Y5","2022-11-06 06:00:00.000","7305"
"UPDT -  HEIBER STOP COMMAND","FLC0 Compression Section","0.8333333333333334","Y4","2022-11-04 07:00:00.000","7435A"
"UPDT - WW Festoon","PLZ0 Palletizer air table","0.85","Y4","2022-11-04 07:00:00.000","7304"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLW0 Automation - Robotics","0.8833333333333333","Y4","2022-11-04 07:00:00.000","7435A"
"UPDT - Cutter Fast Stop Shutdown","PLS0 Delivery table jam","0.9166666666666666","Y4","2022-11-05 07:00:00.000","7303"
"UPDT - Cutter Fast Stop Shutdown","PLRW Rollers metering chrome","0.9833333333333333","Y4","2022-11-05 07:00:00.000","7303"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","PLS0 Delivery table jam","0.9833333333333333","Y5","2022-11-06 06:00:00.000","7301"
"UPDT -  HEIBER STOP COMMAND","S00 Start-Up Shut-Down","0.9833333333333333","Y5","2022-11-06 06:00:00.000","7435B"
"UPDT - Cutter Dancer Roller at Lower Limit","PLRW Rollers metering chrome","1.0","Y4","2022-11-04 07:00:00.000","7303"
"Unplanned Downtime","S03 Start up shut down","1.0","Y4","2022-11-05 07:00:00.000","7434"
"UPDT - WW Cutter Nip","S03 Start up shut down","1.0166666666666666","R4","2022-11-04 19:00:00.000","7305"
"UPDT - WW Cutter","S03 Start up shut down","1.0333333333333334","R5","2022-11-06 18:00:00.000","7305"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","1.05","R4","2022-11-05 19:00:00.000","7436B"
"UPDT - Deck 8 Fault","S03 Start up shut down","1.0666666666666667","R4","2022-11-04 19:00:00.000","7304"
"Unplanned Downtime","SQ04 Waiting on Material - Board","1.0666666666666667","R4","2022-11-04 19:00:00.000","7434"
"UPDT -  OP STATION E-STOP","FLC0 Compression Section","1.1","Y4","2022-11-04 07:00:00.000","7435A"
"UPDT -  HEIBER STOP COMMAND","FQEA Adjust - Change Knives","1.1","Y4","2022-11-04 07:00:00.000","7436B"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S03 Start up shut down","1.1","R4","2022-11-05 19:00:00.000","7303"
"Unplanned Downtime","U00 Clean Up - Housekeeping","1.15","Y5","2022-11-06 06:00:00.000","7435B"
"UPDT - WW Cutter Nip","S03 Start up shut down","1.2","Y4","2022-11-05 07:00:00.000","7305"
"UPDT - Deck 7 Fault","S03 Start up shut down","1.2166666666666666","Y4","2022-11-05 07:00:00.000","7305"
"Unplanned Downtime","LQ01 Adhesion-Loose Film","1.2333333333333334","Y5","2022-11-06 06:00:00.000","7434"
"UPDT - Cutter Dancer Roller at Lower Limit","PQPO Plate Change Other","1.2333333333333334","R4","2022-11-05 19:00:00.000","7302"
"UPDT - WW Cutter Nip","CQ51 P-C register waste","1.25","R5","2022-11-06 18:00:00.000","7304"
"Unplanned Downtime","FLA0 Auto Packer","1.25","Y5","2022-11-06 06:00:00.000","7434"
"UPDT - WW Aetek","PLV0 UV light bulb","1.25","R5","2022-11-06 18:00:00.000","7304"
"UPDT - Delivery Tab Breaker Jam Operator Side - 1","PLS0 Delivery table jam","1.2833333333333334","R4","2022-11-05 19:00:00.000","7303"
"UPDT - WW Outfeed","CLNC Reg P-C maint required","1.3166666666666667","Y5","2022-11-06 06:00:00.000","7304"
"UPDT - Infeed Fast Stop Shutdown","PLU0 Unwind","1.3166666666666667","R5","2022-11-06 18:00:00.000","7303"
"UPDT - Aetek Fault - Tower 4","UPDT - Aetek Fault - Tower 4","1.3333333333333333","R5","2022-11-06 18:00:00.000","7302"
"UPDT - Printer Fast Stop Shutdown","PLS0 Delivery table jam","1.35","R4","2022-11-05 19:00:00.000","7302"
"Unplanned Downtime","FLC0 Compression Section","1.3666666666666667","Y4","2022-11-04 07:00:00.000","7433"
"UPDT - Tower 6 Stop Button","PLRW Rollers metering chrome","1.3666666666666667","Y4","2022-11-04 07:00:00.000","7303"
"UPDT - Delivery Tab Breaker Jam Center","PQU0 Manual Splice","1.3833333333333333","Y4","2022-11-04 07:00:00.000","7303"
"UPDT -  LEARY SYSTEM SHUTDOWN","WQ00 Automation breakdown","1.3833333333333333","R4","2022-11-04 19:00:00.000","7436B"
"UPDT - Delivery Tab Breaker Jam Gear Side","CQCJ Die jam","1.4","R4","2022-11-05 19:00:00.000","7301"
"UPDT - Fallthrough - Printer","PQU0 Manual Splice","1.4166666666666667","Y4","2022-11-04 07:00:00.000","7303"
"UPDT - Delivery Tab Breaker Fast Stop Shutdown","PLS0 Delivery table jam","1.4333333333333333","Y5","2022-11-06 06:00:00.000","7303"
"UPDT - Cutter Fast Stop Shutdown","PQBT Tighten blankets","1.4833333333333334","Y5","2022-11-06 06:00:00.000","7303"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","FLS0 Folding Section-2nd Section","1.5166666666666666","R4","2022-11-04 19:00:00.000","7436A"
"UPDT -  OP SIDE MATT TRIPPED","FLA0 Auto Packer","1.5333333333333334","Y5","2022-11-06 06:00:00.000","7436B"
