"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"UPDT -  HEIBER STOP COMMAND","B00 Employee Break","0.016666666666666666","BL3","2022-07-13 19:00:00.000","7435B"
"UPDT -  OP SIDE MATT TRIPPED","B01 Labor shortage","0.016666666666666666","Y3","2022-08-28 19:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","B01 Labor shortage","0.016666666666666666","BL1","2022-10-19 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","R6","2022-07-30 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","G5","2022-09-21 07:00:00.000","7435B"
"Unplanned Downtime","EQ01 Cello Wrap ups","0.016666666666666666","G5","2022-09-21 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","R7","2022-09-29 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","G8","2022-10-01 07:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","R2","2022-07-01 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","R3","2022-07-06 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","Y4","2022-07-12 07:00:00.000","7436B"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","EQ01 Cello Wrap ups","0.016666666666666666","G6","2022-07-19 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","G6","2022-07-19 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","Y6","2022-07-29 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","Y8","2022-08-12 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","G4","2022-08-29 19:00:00.000","7436A"
"UPDT -  FEEDER E-STOP PRESSED","EQ01 Cello Wrap ups","0.016666666666666666","G8","2022-09-30 07:00:00.000","7436A"
"Unplanned Downtime","FEDR Feed Tear","0.016666666666666666","G6","2022-07-23 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","0.016666666666666666","R8","2022-08-09 07:00:00.000","7435B"
"UPDT -  OP SIDE MATT TRIPPED","FEDR Feed Tear","0.016666666666666666","Y4","2022-09-06 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","0.016666666666666666","Y4","2022-09-10 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","0.016666666666666666","G5","2022-09-18 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","0.016666666666666666","G5","2022-07-24 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","0.016666666666666666","Y8","2022-08-13 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","0.016666666666666666","Y8","2022-10-04 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","0.016666666666666666","BL7","2022-10-05 07:00:00.000","7436A"
"Unplanned Downtime","FLA0 Auto Packer","0.016666666666666666","Y2","2022-07-01 19:00:00.000","7435B"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","FLA0 Auto Packer","0.016666666666666666","G4","2022-07-08 19:00:00.000","7435B"
