"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLA0 Auto Packer","0.016666666666666666","R2","2022-06-28 07:00:00.000","7435B"
"Unplanned Downtime","FLA0 Auto Packer","0.016666666666666666","Y2","2022-06-28 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLA0 Auto Packer","0.016666666666666666","G2","2022-06-24 19:00:00.000","7436A"
"Unplanned Downtime","FLC0 Compression Section","0.016666666666666666","Y2","2022-06-27 19:00:00.000","7435B"
"Unplanned Downtime","FLDL Leary failure","0.016666666666666666","G2","2022-06-24 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLDL Leary failure","0.016666666666666666","G1","2022-06-26 19:00:00.000","7435B"
"UPDT -  OP SIDE MATT TRIPPED","FLDL Leary failure","0.016666666666666666","Y2","2022-06-27 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF0 First Section-Prefold","0.016666666666666666","Y1","2022-06-23 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF3 Feed Section","0.016666666666666666","Y2","2022-06-27 19:00:00.000","7435B"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","FLF3 Feed Section","0.016666666666666666","Y2","2022-06-28 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF3 Feed Section","0.016666666666666666","Y1","2022-06-22 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF3 Feed Section","0.016666666666666666","R2","2022-06-27 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF3 Feed Section","0.016666666666666666","R2","2022-06-28 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLR0 Prefeed Section","0.016666666666666666","Y8","2022-06-14 19:00:00.000","7436A"
"UPDT -  OP SIDE MATT TRIPPED","FLR0 Prefeed Section","0.016666666666666666","R2","2022-06-28 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLS0 Folding Section-2nd Section","0.016666666666666666","R1","2022-06-22 07:00:00.000","7435B"
"UPDT -  HEIBER STOP COMMAND","FLS0 Folding Section-2nd Section","0.016666666666666666","R1","2022-06-23 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLT0 Trombone Section","0.016666666666666666","G2","2022-06-24 19:00:00.000","7435B"
"UPDT -  OP SIDE MATT TRIPPED","FLT0 Trombone Section","0.016666666666666666","R2","2022-06-28 07:00:00.000","7435B"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","FLT0 Trombone Section","0.016666666666666666","R1","2022-06-23 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLT0 Trombone Section","0.016666666666666666","R2","2022-06-27 07:00:00.000","7436A"
"UPDT -  OP SIDE MATT TRIPPED","FLW0 Automation - Robotics","0.016666666666666666","Y8","2022-06-17 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLW0 Automation - Robotics","0.016666666666666666","R1","2022-06-23 07:00:00.000","7436A"
